product_category,revenue_brl,items_sold,order_count,revenue_share_pct
health_beauty,1233131.72,9465,8647,9.33
watches_gifts,1166176.98,5859,5495,8.82
bed_bath_table,1023434.76,10953,9272,7.74
sports_leisure,954852.55,8431,7530,7.22
computers_accessories,888724.61,7644,6530,6.72
furniture_decor,711927.69,8160,6307,5.38
housewares,615628.69,6795,5743,4.66
cool_stuff,610204.10,3718,3559,4.62
auto,578966.65,4140,3810,4.38
toys,471286.48,4030,3804,3.56
garden_tools,470495.28,4268,3448,3.56
baby,400421.84,2982,2809,3.03
perfumery,390144.65,3340,3086,2.95
telephony,309860.23,4430,4093,2.34
office_furniture,268154.31,1668,1254,2.03
stationery,223788.69,2466,2264,1.69
computers,218684.14,199,177,1.65
pet_shop,211695.64,1924,1688,1.60
musical_instruments,184315.74,651,611,1.39
small_appliances,182754.12,658,609,1.38
unclassified,175967.21,1559,1412,1.33
electronics,155043.93,2729,2517,1.17
fashion_bags_accessories,149329.39,1985,1820,1.13
consoles_games,148003.37,1089,1018,1.12
construction_tools_construction,142108.49,916,736,1.07
luggage_accessories,138701.63,1077,1019,1.05
home_appliances_2,107953.95,231,227,0.82
home_construction,81407.57,596,483,0.62
home_appliances,78832.48,754,747,0.60
agro_industry_and_commerce,70566.10,206,177,0.53
furniture_living_room,67350.70,495,414,0.51
home_confort,58008.45,429,392,0.44
fixed_telephony,55315.21,255,212,0.42
air_conditioning,53323.56,289,246,0.40
audio,50570.60,362,348,0.38
small_appliances_home_oven_and_coffee,46589.56,73,72,0.35
kitchen_dining_laundry_garden_furniture,45531.98,274,241,0.34
books_general_interest,45302.15,537,496,0.34
construction_tools_lights,39957.00,301,242,0.30
construction_tools_safety,38773.22,183,159,0.29
industry_commerce_and_business,38498.81,265,232,0.29
food,28731.15,499,441,0.22
market_place,27795.77,305,274,0.21
costruction_tools_garden,25096.28,232,190,0.19
art,23657.30,197,195,0.18
fashion_shoes,23001.46,257,235,0.17
drinks,21529.84,361,287,0.16
signaling_and_security,21315.05,197,138,0.16
furniture_bedroom,19051.80,103,90,0.14
books_technical,18702.23,263,256,0.14
costruction_tools_tools,15903.95,103,97,0.12
food_drink,14942.88,269,221,0.11
fashion_male_clothing,10452.33,125,106,0.08
fashion_underwear_beach,9305.95,127,117,0.07
christmas_supplies,8737.84,150,125,0.07
tablets_printing_image,7528.41,83,79,0.06
cine_photo,6674.47,70,63,0.05
music,6034.35,38,38,0.05
dvds_blu_ray,4542.59,61,56,0.03
party_supplies,4465.19,42,38,0.03
books_imported,4418.86,57,50,0.03
furniture_mattress_and_upholstery,4323.38,37,37,0.03
fashio_female_clothing,2634.94,45,36,0.02
fashion_sport,2094.52,29,26,0.02
la_cuisine,2054.99,14,13,0.02
arts_and_craftmanship,1814.01,24,23,0.01
diapers_and_hygiene,1500.79,37,25,0.01
flowers,1110.04,33,29,0.01
home_comfort_2,760.27,30,24,0.01
cds_dvds_musicals,730.00,14,12,0.01
fashion_childrens_clothes,519.95,7,7,0.00
security_and_services,283.29,2,2,0.00
