month,order_count,revenue_brl,mom_growth_pct
2017-01-01,750,111798.36,
2017-02-01,1653,234223.40,109.51
2017-03-01,2546,359198.85,53.36
2017-04-01,2303,340669.68,-5.16
2017-05-01,3546,489338.25,43.64
2017-06-01,3135,421923.37,-13.78
2017-07-01,3872,481604.52,14.15
2017-08-01,4193,554699.70,15.18
2017-09-01,4150,607399.67,9.50
2017-10-01,4478,648247.65,6.73
2017-11-01,7289,987765.37,52.37
2017-12-01,5513,726033.19,-26.50
2018-01-01,7069,924645.00,27.36
2018-02-01,6555,826437.13,-10.62
2018-03-01,7003,953356.25,15.36
2018-04-01,6798,973534.09,2.12
2018-05-01,6749,977544.69,0.41
2018-06-01,6099,856077.86,-12.43
2018-07-01,6159,867953.46,1.39
2018-08-01,6351,838576.64,-3.38
