customer_state,order_count,revenue_brl,revenue_share_pct
SP,40501,5067633.16,38.33
RJ,12350,1759651.13,13.31
MG,11354,1552481.83,11.74
RS,5345,728897.47,5.51
PR,4923,666063.51,5.04
SC,3546,507012.13,3.83
BA,3256,493584.14,3.73
DF,2080,296498.41,2.24
GO,1957,282836.70,2.14
ES,1995,268643.45,2.03
PE,1593,251889.49,1.91
CE,1279,219757.38,1.66
PA,946,174470.59,1.32
MT,886,152191.62,1.15
MA,717,117009.38,0.88
MS,701,115429.97,0.87
PB,517,112586.82,0.85
PI,476,84721.00,0.64
RN,474,82105.66,0.62
AL,397,78855.72,0.60
SE,335,56574.19,0.43
TO,274,48402.51,0.37
RO,243,45682.76,0.35
AM,145,22155.84,0.17
AC,80,15930.97,0.12
AP,67,13374.81,0.10
RR,41,7057.47,0.05
