customer_state,reviewed_order_count,late_orders,late_rate_pct,average_review_score
AC,80,3,3.75,4.0875
AL,394,92,23.35,3.8528
AM,144,6,4.17,4.2431
AP,66,3,4.55,4.2424
BA,3229,443,13.72,3.9300
CE,1273,194,15.24,3.9419
DF,2070,147,7.10,4.1338
ES,1969,234,11.88,4.0797
GO,1946,155,7.97,4.1043
MA,712,137,19.24,3.8336
MG,11285,622,5.51,4.1925
MS,699,81,11.59,4.1602
MT,879,58,6.60,4.1462
PA,933,111,11.90,3.9100
PB,512,55,10.74,4.0762
PE,1579,168,10.64,4.0830
PI,471,75,15.92,3.9936
PR,4900,241,4.92,4.2396
RJ,12211,1623,13.29,3.9651
RN,471,50,10.62,4.1497
RO,242,7,2.89,4.1653
RR,41,5,12.20,3.9024
RS,5326,378,7.10,4.1856
SC,3519,339,9.63,4.1333
SE,334,50,14.97,3.9072
SP,40266,2349,5.83,4.2465
TO,273,35,12.82,4.1538
