customer_state,order_count,late_orders,average_delivery_days,late_rate_pct
AL,397,95,24.5,23.93
MA,717,141,21.51,19.67
PI,476,76,19.39,15.97
CE,1279,196,21.2,15.32
SE,335,51,21.46,15.22
BA,3256,457,19.28,14.04
RJ,12350,1664,15.24,13.47
TO,274,35,17.6,12.77
PA,946,117,23.73,12.37
ES,1995,244,15.72,12.23
RR,41,5,29.34,12.2
MS,701,81,15.54,11.55
PB,517,57,20.39,11.03
PE,1593,172,18.4,10.8
RN,474,51,19.22,10.76
SC,3546,346,14.9,9.76
GO,1957,160,15.54,8.18
RS,5344,382,15.25,7.15
DF,2080,147,12.9,7.07
MT,886,60,18.0,6.77
SP,40494,2387,8.7,5.89
MG,11354,637,11.94,5.61
PR,4923,246,11.94,5.0
AP,67,3,27.18,4.48
AM,145,6,26.36,4.14
AC,80,3,21.0,3.75
RO,243,7,19.28,2.88
